Time (min),Hot Water Draw Volume (gal),Ambient Temperature (deg F),Inlet Water Temperature (deg F),Tank Temperature (deg F),Jacket Losses (Btu),Energy Withdrawn (Btu),Energy Added Backup (Btu),Energy Added Heat Pump (Btu),Energy Added Total (Btu),COP Gas,Total Energy Change (Btu),Timestep (min),Elec Energy Demand (Watts),Electric Usage (W-hrs),Gas Usage (Btu),NOx Production (ng),Energy Added Heat Pump (Btu/min)
8435.0,0.130460430645,68.0,40.0,108.38930885721717,-54.533022395531546,-74.06202712653098,0.0,0.0,0.0,1.7631267278569571,-128.59504952206254,5.0,5,0.4166666666666667,0.0,0.0,0.0
8440.0,0.0,68.0,40.0,108.15097687714872,-54.21123022888193,-0.0,0.0,0.0,0.0,1.7637225578071283,-54.21123022888193,5.0,5,0.4166666666666667,0.0,0.0,0.0
8445.0,0.0,68.0,40.0,108.05050434814845,-54.07557376856773,-0.0,0.0,0.0,0.0,1.7639737391296288,-54.07557376856773,5.0,5,0.4166666666666667,0.0,0.0,0.0
8450.0,0.0,68.0,40.0,107.9502832384129,-53.94025677067021,-0.0,0.0,0.0,0.0,1.7642242919039677,-53.94025677067021,5.0,5,0.4166666666666667,0.0,0.0,0.0
8455.0,0.0,68.0,40.0,107.85031291879847,-53.80527838572941,-0.0,0.0,0.0,0.0,1.764474217703004,-53.80527838572941,5.0,5,0.4166666666666667,0.0,0.0,0.0
8460.0,0.0,68.0,40.0,107.75059276173593,-53.67063776641103,-0.0,0.0,0.0,0.0,1.7647235180956602,-53.67063776641103,5.0,5,0.4166666666666667,0.0,0.0,0.0
8465.0,0.0,68.0,40.0,107.65112214122647,-53.536334067501095,-0.0,0.0,0.0,0.0,1.764972194646934,-53.536334067501095,5.0,5,0.4166666666666667,0.0,0.0,0.0
8470.0,0.0,68.0,40.0,107.55190043283773,-53.40236644590068,-0.0,0.0,0.0,0.0,1.7652202489179056,-53.40236644590068,5.0,5,0.4166666666666667,0.0,0.0,0.0
8475.0,0.0,68.0,40.0,107.45292701369993,-53.268734060620616,-0.0,0.0,0.0,0.0,1.7654676824657503,-53.268734060620616,5.0,5,0.4166666666666667,0.0,0.0,0.0
8480.0,0.0,68.0,40.0,107.35420126250195,-53.13543607277614,-0.0,0.0,0.0,0.0,1.7657144968437453,-53.13543607277614,5.0,5,0.4166666666666667,0.0,0.0,0.0
8485.0,0.0,68.0,40.0,107.2557225594874,-53.00247164558179,-0.0,0.0,0.0,0.0,1.7659606936012815,-53.00247164558179,5.0,5,0.4166666666666667,0.0,0.0,0.0
8490.0,0.0,68.0,40.0,107.15749028645074,-52.86983994434597,-0.0,0.0,0.0,0.0,1.7662062742838731,-52.86983994434597,5.0,5,0.4166666666666667,0.0,0.0,0.0
8495.0,0.0,68.0,40.0,107.05950382673343,-52.7375401364658,-0.0,0.0,0.0,0.0,1.7664512404331665,-52.7375401364658,5.0,5,0.4166666666666667,0.0,0.0,0.0
8500.0,0.0,68.0,40.0,106.96176256522004,-52.605571391421904,-0.0,0.0,0.0,0.0,1.76669559358695,-52.605571391421904,5.0,5,0.4166666666666667,0.0,0.0,0.0
8505.0,0.0,68.0,40.0,106.86426588833437,-52.47393288077316,-0.0,0.0,0.0,0.0,1.766939335279164,-52.47393288077316,5.0,5,0.4166666666666667,0.0,0.0,0.0
8510.0,0.0,68.0,40.0,106.76701318403562,-52.34262377815151,-0.0,0.0,0.0,0.0,1.767182467039911,-52.34262377815151,5.0,5,0.4166666666666667,0.0,0.0,0.0
8515.0,0.0,68.0,40.0,106.67000384181452,-52.21164325925675,-0.0,0.0,0.0,0.0,1.7674249903954637,-52.21164325925675,5.0,5,0.4166666666666667,0.0,0.0,0.0
8520.0,0.0,68.0,40.0,106.57323725268955,-52.08099050185142,-0.0,0.0,0.0,0.0,1.7676669068682762,-52.08099050185142,5.0,5,0.4166666666666667,0.0,0.0,0.0
8525.0,0.0,68.0,40.0,106.47671280920308,-51.95066468575557,-0.0,0.0,0.0,0.0,1.7679082179769923,-51.95066468575557,5.0,5,0.4166666666666667,0.0,0.0,0.0
8530.0,0.0,68.0,40.0,106.38042990541754,-51.820664992841664,-0.0,0.0,0.0,0.0,1.7681489252364562,-51.820664992841664,5.0,5,0.4166666666666667,0.0,0.0,0.0
8535.0,0.0,68.0,40.0,106.28438793691168,-51.69099060702941,-0.0,0.0,0.0,0.0,1.7683890301577208,-51.69099060702941,5.0,5,0.4166666666666667,0.0,0.0,0.0
8540.0,0.0,68.0,40.0,106.1885863007767,-51.56164071428066,-0.0,0.0,0.0,0.0,1.7686285342480583,-51.56164071428066,5.0,5,0.4166666666666667,0.0,0.0,0.0
8545.0,0.0,68.0,40.0,106.0930243956125,-51.43261450259424,-0.0,0.0,0.0,0.0,1.7688674390109687,-51.43261450259424,5.0,5,0.4166666666666667,0.0,0.0,0.0
8550.0,0.0,68.0,40.0,105.99770162152393,-51.30391116200099,-0.0,0.0,0.0,0.0,1.7691057459461903,-51.30391116200099,5.0,5,0.4166666666666667,0.0,0.0,0.0
8555.0,0.0,68.0,40.0,105.90261738011698,-51.175529884558536,-0.0,0.0,0.0,0.0,1.7693434565497075,-51.175529884558536,5.0,5,0.4166666666666667,0.0,0.0,0.0
8560.0,0.0,68.0,40.0,105.80777107449504,-51.04746986434627,-0.0,0.0,0.0,0.0,1.7695805723137625,-51.04746986434627,5.0,5,0.4166666666666667,0.0,0.0,0.0
8565.0,0.0,68.0,40.0,105.71316210925515,-50.919730297460305,-0.0,0.0,0.0,0.0,1.769817094726862,-50.919730297460305,5.0,5,0.4166666666666667,0.0,0.0,0.0
8570.0,0.0,68.0,40.0,105.6187898904843,-50.7923103820084,-0.0,0.0,0.0,0.0,1.7700530252737892,-50.7923103820084,5.0,5,0.4166666666666667,0.0,0.0,0.0
8575.0,0.0,68.0,40.0,105.52465382575562,-50.665209318104985,-0.0,0.0,0.0,0.0,1.770288365435611,-50.665209318104985,5.0,5,0.4166666666666667,0.0,0.0,0.0
8580.0,0.0,68.0,40.0,105.43075332412477,-50.538426307866075,-0.0,0.0,0.0,0.0,1.770523116689688,-50.538426307866075,5.0,5,0.4166666666666667,0.0,0.0,0.0
8585.0,0.0,68.0,40.0,105.33708779612611,-50.411960555404285,-0.0,0.0,0.0,0.0,1.7707572805096847,-50.411960555404285,5.0,5,0.4166666666666667,0.0,0.0,0.0
8590.0,0.0,68.0,40.0,105.24365665376911,-50.28581126682381,-0.0,0.0,0.0,0.0,1.7709908583655771,-50.28581126682381,5.0,5,0.4166666666666667,0.0,0.0,0.0
8595.0,0.0,68.0,40.0,105.15045931053457,-50.159977650215524,-0.0,0.0,0.0,0.0,1.7712238517236636,-50.159977650215524,5.0,5,0.4166666666666667,0.0,0.0,0.0
8600.0,0.0,68.0,40.0,105.057495181371,-50.03445891565187,-0.0,0.0,0.0,0.0,1.7714562620465726,-50.03445891565187,5.0,5,0.4166666666666667,0.0,0.0,0.0
8605.0,0.0,68.0,40.0,104.96476368269091,-49.90925427518206,-0.0,0.0,0.0,0.0,1.7716880907932726,-49.90925427518206,5.0,5,0.4166666666666667,0.0,0.0,0.0
