Hour of Year (hr),Timestep (min),Time (min),Inlet Water Temperature (deg F),Hot Water Draw Volume (gal),Ambient Temperature (deg F),Tank Temperature (deg F),Jacket Losses (Btu),Energy Withdrawn (Btu),Energy Added Backup (Btu),Energy Added Heat Pump (Btu),Energy Added Total (Btu),COP Gas,Total Energy Change (Btu),Electricity CO2 Multiplier (lb/kWh),CO2 Production (lb),Elec Energy Demand (Watts),Electric Usage (W-hrs),Gas Usage (Btu),NOx Production (ng),CO2 Production Gas (lb),CO2 Production Elec (lb),Energy Added Heat Pump (Btu/min)
777.0,60.0,46620.0,40.0,0.0,68.0,119.35601183924584,-256.8151694755321,-0.0,0.0,0.0,0.0,1.7357099704018855,-256.8151694755321,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
778.0,60.0,46680.0,40.0,0.0,68.0,118.88004275583087,-254.4349986553183,-0.0,0.0,0.0,0.0,1.7368998931104227,-254.4349986553183,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
779.0,60.0,46740.0,40.0,0.0,68.0,118.40848496839185,-252.0768873308304,-0.0,0.0,0.0,0.0,1.7380787875790205,-252.0768873308304,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
780.0,60.0,46800.0,40.0,0.0034381066923727995,68.0,117.94129759290317,-249.74063105398952,-2.224413661926334,0.0,0.0,0.0,1.739246756017742,-251.96504471591584,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
781.0,60.0,46860.0,40.0,0.12673363137732035,68.0,117.47431750122493,-247.40541133791336,-81.50386622871993,0.0,0.0,0.0,1.7404142062469377,-328.9092775666333,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
782.0,60.0,46920.0,40.0,0.0,68.0,116.86473260914174,-244.35707012598084,-0.0,0.0,0.0,0.0,1.7419381684771458,-244.35707012598084,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
783.0,60.0,46980.0,40.0,2.311299795474655,68.0,116.41185277758292,-242.09236135034828,-1466.0392014854021,0.0,0.0,0.0,1.7430703680560427,-1708.1315628357504,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
784.0,60.0,47040.0,40.0,3.8258867761719726,68.0,113.24608256246889,-226.26134595024277,-2326.1894821416313,0.0,0.0,0.0,1.7509847935938279,-2552.450828091874,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
785.0,60.0,47100.0,40.0,0.003955882808338944,68.0,108.51549097167735,-202.60515385901329,-2.249887297241153,0.0,0.0,0.0,1.7628112725708065,-204.85504115625443,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
786.0,60.0,47160.0,40.0,0.6013638051072423,68.0,108.1358223314985,-200.70655109216906,-340.12719638335153,0.0,0.0,0.0,1.7637604441712538,-540.8337474755206,0.42423,0.00212115,5,5.0,0.0,0.0,0.0,0.00212115,0.0
