Time (min),Hot Water Draw Volume (gal),Inlet Water Temperature (deg F),Ambient Temperature (deg F),Tank Temperature (deg F),Jacket Losses (Btu),Energy Withdrawn (Btu),Energy Added Backup (Btu),Energy Added Heat Pump (Btu),Energy Added Total (Btu),COP Gas,Total Energy Change (Btu),Timestep (min)
1155,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1160,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1165,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1170,2.182496965056,48.9095,68,0,0,0,0,0,0,0,0,5
1175,0.35644169376,48.9095,68,0,0,0,0,0,0,0,0,5
1180,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1185,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1190,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1195,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1200,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1205,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1210,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1215,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1220,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1225,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1230,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1235,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1240,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1245,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1250,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1255,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1260,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1265,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1270,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1275,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1280,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1285,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1290,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1295,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1300,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1305,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1310,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1315,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1320,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1325,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1330,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1335,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1340,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1345,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1350,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1355,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1360,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1365,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1370,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1375,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1380,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1385,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1390,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1395,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1400,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1405,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1410,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1415,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1420,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1425,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1430,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1435,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1440,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1445,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1450,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1455,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1460,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1465,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1470,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1475,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1480,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1485,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1490,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1495,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1500,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1505,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1510,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1515,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1520,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1525,0.0,0.0,68,0,0,0,0,0,0,0,0,5
