Time (min),Hot Water Draw Volume (gal),Ambient Temperature (deg F),Inlet Water Temperature (deg F),Tank Temperature (deg F),Jacket Losses (Btu),Energy Withdrawn (Btu),Energy Added Backup (Btu),Energy Added Heat Pump (Btu),Energy Added Total (Btu),COP Gas,Tank Temperature (deg C),Time Step (min),Total Energy Change (Btu),Elec Energy Demand (Watts),Electric Usage (W-hrs),Gas Usage (Btu)
1860,-4.127247731050048,68,40,127.4095545998817,-115.54688677738322,2994.6634150267046,0.0,0.0,0.0,0.0,53.00530811104539,5.0,2879.116528249321,5.0,0.41666666666666663,0.0
1865,8.704002126977961,68,40,132.16080380910273,-124.78769085555564,-6658.766940265638,0.0,0.0,0.0,0.0,55.64489100505707,5.0,-6783.554631121194,5.0,0.41666666666666663,0.0
1870,0.3922950572279999,68,40,120.96627303531005,-103.01521354013188,-263.6607949483512,0.0,919.8972495931854,919.8972495931854,1.7263302608323778,49.425707241838914,5.0,553.2212411047024,158.5,13.208333333333332,532.8628423333332
1875,0.0,68,40,121.87922392094902,-104.79083083480263,-0.0,0.0,918.6594343567677,918.6594343567677,1.724007308023363,49.93290217830501,5.0,813.8686035219652,158.5,13.208333333333332,532.8628423333333
1880,0.0,68,40,123.22230695386983,-107.40302114968904,-0.0,0.0,916.8384287932978,916.8384287932978,1.7205899078618203,50.67905941881657,5.0,809.4354076436088,158.5,13.208333333333332,532.8628423333334
1885,0.0,68,40,124.55807412506546,-110.00098269191197,-0.0,0.0,915.0273423670488,915.0273423670488,1.7171911225040002,51.42115229170303,5.0,805.0263596751369,158.5,13.208333333333332,532.8628423333334
1890,0.0,68,40,125.8865652845165,-112.58479296653316,-0.0,0.0,913.2261210478275,913.2261210478275,1.7138108505538414,52.159202935842494,5.0,800.6413280812943,158.5,13.208333333333332,532.8628423333333
1895,0.0,68,40,127.20782006513804,-115.15452905643912,-0.0,0.0,911.4347110997463,911.4347110997463,1.7104489911675933,52.89323336952113,5.0,796.2801820433071,158.5,13.208333333333332,532.8628423333333
1900,0.0,68,40,128.5218778839621,-117.71026762464076,-0.0,0.0,909.6530590796204,909.6530590796204,1.7071054440508076,53.62326549109006,5.0,791.9427914549797,158.5,13.208333333333332,532.8628423333333
1905,0.0,68,40,129.82877794331355,-120.25208491656063,-0.0,0.0,907.8811118353738,907.8811118353738,1.7037801094553466,54.34932107961864,5.0,787.6290269188131,158.5,13.208333333333332,532.8628423333333
1910,0.0,68,40,131.12855923197958,-122.78005676230738,-0.0,0.0,906.1188165044529,906.1188165044529,1.7004728881764075,55.07142179554421,5.0,783.3387597421455,158.5,13.208333333333332,532.8628423333332
1915,0.0,68,40,132.4212605263729,-125.29425857893803,-0.0,0.0,904.3661205122505,904.3661205122505,1.6971836815495625,55.78958918131827,5.0,779.0718619333124,158.5,13.208333333333332,532.8628423333332
1920,0.0,68,40,133.7069203916885,-127.79476537270793,-0.0,0.0,902.6229715705365,902.6229715705365,1.693912391447815,56.50384466204916,5.0,774.8282061978285,158.5,13.208333333333332,532.8628423333332
1925,0.0,68,40,134.98557718305432,-130.28165174130854,-0.0,0.0,900.889317675898,900.889317675898,1.690658920278673,57.214209546141284,5.0,770.6076659345895,158.5,13.208333333333332,532.8628423333333
1930,0.0,68,40,136.2572690466753,-132.75499187609262,-0.0,0.0,0.0,0.0,0.0,57.92070502593072,5.0,-132.75499187609262,5.0,0.41666666666666663,0.0
1935,2.8927934519999994,68,40,136.0381907134496,-132.32890183830168,-2306.1628281064764,0.0,0.0,0.0,0.0,57.798994840805335,5.0,-2438.491729944778,5.0,0.41666666666666663,0.0
1940,0.0,68,40,132.01408061234264,-124.5023258377932,-0.0,0.0,0.0,0.0,0.0,55.56337811796813,5.0,-124.5023258377932,5.0,0.41666666666666663,0.0
1945,13.49922064375812,68,40,131.80862120443786,-124.10272353303918,-10287.75784739117,0.0,0.0,0.0,0.0,55.449234002465474,5.0,-10411.86057092421,5.0,0.41666666666666663,0.0
1950,0.793827238779,68,40,114.6264947365649,-90.68484597194484,-491.7536726059067,0.0,928.4929739603348,928.4929739603348,1.7424614745036293,45.9036081869805,5.0,346.0544553824833,158.5,13.208333333333332,532.8628423333332
1955,0.0,68,40,115.1975695580773,-91.79554135061107,-0.0,0.0,927.7186879321135,927.7186879321135,1.74100840634667,46.22087197670961,5.0,835.9231465815025,158.5,13.208333333333332,532.8628423333333
1960,0.0,68,40,116.57704800231379,-94.47851786308524,-0.0,0.0,925.8483360178473,925.8483360178473,1.7374984000830016,46.98724889017433,5.0,831.369818154762,158.5,13.208333333333332,532.8628423333332
1965,0.03229305452799999,68,40,117.94901233662293,-97.14688002581624,-20.895285763913307,0.0,923.9881720336249,923.9881720336249,1.7340075130545929,47.74945129812385,5.0,805.9460062438953,158.5,13.208333333333332,532.8628423333333
1970,0.0,68,40,119.27902113872221,-99.73364199540347,-0.0,0.0,922.1848930339489,922.1848930339489,1.7306233795470292,48.4883450770679,5.0,822.4512510385455,158.5,13.208333333333332,532.8628423333332
1975,0.0,68,40,120.63626764742669,-102.37337915092469,-0.0,0.0,920.3446840649053,920.3446840649053,1.7271699412082144,49.242370915237046,5.0,817.9713049139806,158.5,13.208333333333332,532.8628423333333
1980,0.139393527273,68,40,121.98612114502069,-104.99873748432749,-94.8662033520736,0.0,918.5144988352976,918.5144988352976,1.7237353139754474,49.99228952501149,5.0,718.6495579988964,158.5,13.208333333333332,532.8628423333332
1985,0.0,68,40,123.17206937276592,-107.3053130262251,-0.0,0.0,916.9065429101787,916.9065429101787,1.7207177345959623,50.65114965153662,5.0,809.6012298839536,158.5,13.208333333333332,532.8628423333333
1990,0.0,68,40,124.50811019137407,-109.90380679103083,-0.0,0.0,915.0950854618497,915.0950854618497,1.717318252957504,51.393394550763375,5.0,805.191278670819,158.5,13.208333333333332,532.8628423333332
1995,0.0,68,40,125.83687350766215,-112.48814638918336,-0.0,0.0,913.2934951415301,913.2934951415301,1.713937288519393,52.131596393145635,5.0,800.8053487523467,158.5,13.208333333333332,532.8628423333333
2000,0.0,68,40,127.15839896266452,-115.05840891936049,-0.0,0.0,911.5017182023239,911.5017182023239,1.7105747404172205,52.865777201480284,5.0,796.4433092829634,158.5,13.208333333333332,532.8628423333333
2005,0.0,68,40,128.47272598148825,-117.61467106027854,-0.0,0.0,909.7197011900977,909.7197011900977,1.707230508335991,53.595958878604584,5.0,792.1050301298192,158.5,13.208333333333332,532.8628423333333
2010,0.0,68,40,129.77989377448924,-120.15700907297972,-0.0,0.0,907.9473909418866,907.9473909418866,1.703904492507133,54.322163208049574,5.0,787.7903818689069,158.5,13.208333333333332,532.8628423333332
2015,0.0,68,40,131.07994133844196,-122.68549880310736,-0.0,0.0,906.1847345843082,906.1847345843082,1.70059659370552,55.044411854689976,5.0,783.4992357812008,158.5,13.208333333333332,532.8628423333333
2020,0.0,68,40,132.37290745770295,-125.20021568316861,-0.0,0.0,904.431679531984,904.431679531984,1.6973067132465114,55.76272636539053,5.0,779.2314638488153,158.5,13.208333333333332,532.8628423333333
2025,0.0,68,40,133.65883070536776,-127.7012347347847,-0.0,0.0,902.6881734859722,902.6881734859722,1.6940347529830089,56.47712816964876,5.0,774.9869387511875,158.5,13.208333333333332,532.8628423333333
2030,0.0,68,40,134.93774944442177,-130.18863057092923,-0.0,0.0,900.9541644322067,900.9541644322067,1.6907806153025269,57.187638580234314,5.0,770.7655338612774,158.5,13.208333333333332,532.8628423333333
2035,0.0,68,40,136.20970182888465,-132.66247739815404,-0.0,0.0,0.0,0.0,0.0,57.8942787938248,5.0,-132.66247739815404,5.0,0.41666666666666663,0.0
2040,0.0,68,40,135.99077616726353,-132.23668429456376,-0.0,0.0,0.0,0.0,0.0,57.77265342625752,5.0,-132.23668429456376,5.0,0.41666666666666663,0.0
2045,0.0,68,40,135.7725531688125,-131.81225781528673,-0.0,0.0,0.0,0.0,0.0,57.65141842711805,5.0,-131.81225781528673,5.0,0.41666666666666663,0.0
2050,0.0,68,40,135.55503057826581,-131.38919357400945,-0.0,0.0,0.0,0.0,0.0,57.53057254348101,5.0,-131.38919357400945,5.0,0.41666666666666663,0.0
2055,0.0,68,40,135.33820614759634,-130.96748719849683,-0.0,0.0,0.0,0.0,0.0,57.410114526442406,5.0,-130.96748719849683,5.0,0.41666666666666663,0.0
2060,0.0,68,40,135.12207763599216,-130.5471343305468,-0.0,0.0,0.0,0.0,0.0,57.29004313110675,5.0,-130.5471343305468,5.0,0.41666666666666663,0.0
2065,0.0,68,40,134.90664280983344,-130.1281306259455,-0.0,0.0,0.0,0.0,0.0,57.17035711657413,5.0,-130.1281306259455,5.0,0.41666666666666663,0.0
2070,0.0,68,40,134.69189944266938,-129.710471754422,-0.0,0.0,0.0,0.0,0.0,57.05105524592743,5.0,-129.710471754422,5.0,0.41666666666666663,0.0
2075,0.0,68,40,134.4778453151952,-129.29415339960403,-0.0,0.0,0.0,0.0,0.0,56.93213628621955,5.0,-129.29415339960403,5.0,0.41666666666666663,0.0
2080,0.0,68,40,134.2644782152292,-128.87917125897306,-0.0,0.0,0.0,0.0,0.0,56.813599008460656,5.0,-128.87917125897306,5.0,0.41666666666666663,0.0
2085,0.0,68,40,134.05179593768983,-128.46552104381988,-0.0,0.0,0.0,0.0,0.0,56.69544218760546,5.0,-128.46552104381988,5.0,0.41666666666666663,0.0
2090,0.0,68,40,133.83979628457305,-128.05319847920032,-0.0,0.0,0.0,0.0,0.0,56.57766460254059,5.0,-128.05319847920032,5.0,0.41666666666666663,0.0
2095,0.0,68,40,133.62847706492948,-127.64219930389109,-0.0,0.0,0.0,0.0,0.0,56.46026503607193,5.0,-127.64219930389109,5.0,0.41666666666666663,0.0
2100,0.33805991626399995,68,40,133.41783609484182,-127.23251927034565,-262.1513237174042,0.0,0.0,0.0,0.0,56.34324227491212,5.0,-389.38384298774986,5.0,0.41666666666666663,0.0
2105,0.0,68,40,132.77525714469286,-125.98275401459773,-0.0,0.0,0.0,0.0,0.0,55.98625396927381,5.0,-125.98275401459773,5.0,0.41666666666666663,0.0
2110,0.0,68,40,132.56735466679234,-125.57840013185113,-0.0,0.0,0.0,0.0,0.0,55.87075259266241,5.0,-125.57840013185113,5.0,0.41666666666666663,0.0
2115,0.0,68,40,132.3601194720833,-125.17534406215654,-0.0,0.0,0.0,0.0,0.0,55.75562192893517,5.0,-125.17534406215654,5.0,0.41666666666666663,0.0
2120,0.0,68,40,132.1535494188556,-124.77358164005705,-0.0,0.0,0.0,0.0,0.0,55.64086078825311,5.0,-124.77358164005705,5.0,0.41666666666666663,0.0
2125,0.0,68,40,131.94764237227298,-124.37310871346499,-0.0,0.0,0.0,0.0,0.0,55.526467984596096,5.0,-124.37310871346499,5.0,0.41666666666666663,0.0
2130,0.0,68,40,131.74239620435128,-123.97392114361931,-0.0,0.0,0.0,0.0,0.0,55.41244233575071,5.0,-123.97392114361931,5.0,0.41666666666666663,0.0
2135,0.0,68,40,131.53780879393625,-123.57601480504276,-0.0,0.0,0.0,0.0,0.0,55.298782663297914,5.0,-123.57601480504276,5.0,0.41666666666666663,0.0
2140,0.0,68,40,131.3338780266817,-123.1793855854991,-0.0,0.0,0.0,0.0,0.0,55.185487792600945,5.0,-123.1793855854991,5.0,0.41666666666666663,0.0
2145,0.0,68,40,131.13060179502764,-122.78402938595083,-0.0,0.0,0.0,0.0,0.0,55.07255655279313,5.0,-122.78402938595083,5.0,0.41666666666666663,0.0
2150,0.0,68,40,130.9279779981785,-122.38994212051664,-0.0,0.0,0.0,0.0,0.0,54.959987776765836,5.0,-122.38994212051664,5.0,0.41666666666666663,0.0
2155,0.0,68,40,130.72600454208143,-121.99711971642925,-0.0,0.0,0.0,0.0,0.0,54.84778030115635,5.0,-121.99711971642925,5.0,0.41666666666666663,0.0
2160,0.0,68,40,130.52467933940463,-121.6055581139934,-0.0,0.0,0.0,0.0,0.0,54.7359329663359,5.0,-121.6055581139934,5.0,0.41666666666666663,0.0
2165,-0.942604318403,68,40,130.32400030951578,-121.2152532665437,706.7424226736654,0.0,0.0,0.0,0.0,54.62444461639765,5.0,585.5271694071216,5.0,0.41666666666666663,0.0
2170,4.0250781498598265,68,40,131.29026390924395,-123.0945595752148,-3050.1932226059275,0.0,0.0,0.0,0.0,55.16125772735775,5.0,-3173.287782181142,5.0,0.41666666666666663,0.0
2175,3.084332655600089,68,40,126.05355990029344,-112.909584291625,-2203.223856026439,0.0,0.0,0.0,0.0,52.25197772238524,5.0,-2316.133440318064,5.0,0.41666666666666663,0.0
2180,0.0,68,40,122.23137102089682,-105.47572910345139,-0.0,0.0,918.1819792684026,918.1819792684026,1.7231112892912739,50.12853945605379,5.0,812.7062501649513,158.5,13.208333333333332,532.8628423333332
2185,0.0,68,40,123.57253588537459,-108.08418873236647,-0.0,0.0,916.3635744342403,916.3635744342403,1.7196987698027693,50.87363104743033,5.0,808.2793857018738,158.5,13.208333333333332,532.8628423333333
2190,0.0,68,40,124.90639533651701,-110.67843990991027,-0.0,0.0,914.5550745709553,914.5550745709553,1.7163048385326403,51.61466407584278,5.0,803.876634661045,158.5,13.208333333333332,532.8628423333332
2195,0.0,68,40,126.23298916739158,-113.25856003045304,-0.0,0.0,912.7564257255193,912.7564257255193,1.712929394229637,52.351660648550876,5.0,799.4978656950663,158.5,13.208333333333332,532.8628423333333
2200,0.0,68,40,127.55235695431035,-115.82462606679283,-0.0,0.0,910.9675742387892,910.9675742387892,1.7095723361940327,53.08464275239464,5.0,795.1429481719964,158.5,13.208333333333332,532.8628423333333
2205,0.0,68,40,128.86453805801062,-118.37671457245179,-0.0,0.0,909.1884667439068,909.1884667439068,1.7062335642746176,53.81363225445035,5.0,790.811752171455,158.5,13.208333333333332,532.8628423333332
2210,0.0,68,40,130.16957162482913,-120.91490168395997,-0.0,0.0,907.4190501647073,907.4190501647073,1.7029129788657127,54.538650902682846,5.0,786.5041484807473,158.5,13.208333333333332,532.8628423333333
2215,0.0,68,40,131.46749658786996,-123.43926312312682,-0.0,0.0,905.6592717141343,905.6592717141343,1.6996104809041976,55.25972032659442,5.0,782.2200085910075,158.5,13.208333333333332,532.8628423333333
2220,0.0,68,40,132.75835166816597,-125.94987419929991,-0.0,0.0,903.9090788926667,903.9090788926667,1.6963259718665555,55.976862037869985,5.0,777.9592046933668,158.5,13.208333333333332,532.8628423333332
2225,0.0,68,40,134.0421753758341,-128.44680981161207,-0.0,0.0,902.1684194867516,902.1684194867516,1.6930593537659333,56.69009743101894,5.0,773.7216096751396,158.5,13.208333333333332,532.8628423333332
2230,0.0,68,40,135.31900601122402,-130.93014445121543,-0.0,0.0,900.4372415672468,900.4372415672468,1.6898105291492191,57.39944778401334,5.0,769.5070971160314,158.5,13.208333333333332,532.8628423333332
2235,0.0,68,40,136.58888166606098,-133.39995220350406,-0.0,0.0,0.0,0.0,0.0,58.10493425892277,5.0,-133.39995220350406,5.0,0.41666666666666663,0.0
2240,0.0,68,40,136.36873898993164,-132.97179210291247,-0.0,0.0,0.0,0.0,0.0,57.982632772184246,5.0,-132.97179210291247,5.0,0.41666666666666663,0.0
2245,0.0,68,40,136.1493028830986,-132.54500622374084,-0.0,0.0,0.0,0.0,0.0,57.86072382394367,5.0,-132.54500622374084,5.0,0.41666666666666663,0.0
2250,0.0,68,40,135.9305710777591,-132.11959015529206,-0.0,0.0,0.0,0.0,0.0,57.739206154310615,5.0,-132.11959015529206,5.0,0.41666666666666663,0.0
2255,0.10719715853699999,68,40,135.71254131338912,-131.6955395010256,-85.16883241725583,0.0,0.0,0.0,0.0,57.6180785074384,5.0,-216.86437191828142,5.0,0.41666666666666663,0.0
2260,0.07522601723099999,68,40,135.354661850896,-130.99949224042678,-59.544077570753885,0.0,0.0,0.0,0.0,57.419256583831114,5.0,-190.54356981118065,5.0,0.41666666666666663,0.0
2265,0.0,68,40,135.04021817468328,-130.38792415011005,-0.0,0.0,0.0,0.0,0.0,57.24456565260182,5.0,-130.38792415011005,5.0,0.41666666666666663,0.0
2270,0.0,68,40,134.8250460844147,-129.96943144604316,-0.0,0.0,0.0,0.0,0.0,57.12502560245262,5.0,-129.96943144604316,5.0,0.41666666666666663,0.0
2275,0.0,68,40,134.61056460986447,-129.55228193494833,-0.0,0.0,0.0,0.0,0.0,57.00586922770248,5.0,-129.55228193494833,5.0,0.41666666666666663,0.0
2280,0.0,68,40,134.39677153443432,-129.1364713057172,-0.0,0.0,0.0,0.0,0.0,56.88709529690796,5.0,-129.1364713057172,5.0,0.41666666666666663,0.0
2285,0.0,68,40,134.18366464864044,-128.72199526107852,-0.0,0.0,0.0,0.0,0.0,56.76870258257802,5.0,-128.72199526107852,5.0,0.41666666666666663,0.0
2290,0.0,68,40,133.97124175009057,-128.30884951755337,-0.0,0.0,0.0,0.0,0.0,56.650689861161425,5.0,-128.30884951755337,5.0,0.41666666666666663,0.0
2295,0.0,68,40,133.75950064346122,-127.8970298054112,-0.0,0.0,0.0,0.0,0.0,56.53305591303401,5.0,-127.8970298054112,5.0,0.41666666666666663,0.0
2300,0.0,68,40,133.54843914047504,-127.48653186862549,-0.0,0.0,0.0,0.0,0.0,56.41579952248613,5.0,-127.48653186862549,5.0,0.41666666666666663,0.0
2305,0.0,68,40,133.33805505987812,-127.07735146482989,-0.0,0.0,0.0,0.0,0.0,56.298919477710065,5.0,-127.07735146482989,5.0,0.41666666666666663,0.0
2310,0.0,68,40,133.12834622741752,-126.66948436527431,-0.0,0.0,0.0,0.0,0.0,56.182414570787515,5.0,-126.66948436527431,5.0,0.41666666666666663,0.0
2315,0.0,68,40,132.91931047581878,-126.26292635478127,-0.0,0.0,0.0,0.0,0.0,56.0662835976771,5.0,-126.26292635478127,5.0,0.41666666666666663,0.0
2320,0.0,68,40,132.7109456447635,-125.85767323170234,-0.0,0.0,0.0,0.0,0.0,55.95052535820195,5.0,-125.85767323170234,5.0,0.41666666666666663,0.0
2325,0.0,68,40,132.50324958086708,-125.45372080787457,-0.0,0.0,0.0,0.0,0.0,55.835138656037266,5.0,-125.45372080787457,5.0,0.41666666666666663,0.0
2330,0.0,68,40,132.29622013765635,-125.05106490857749,-0.0,0.0,0.0,0.0,0.0,55.72012229869797,5.0,-125.05106490857749,5.0,0.41666666666666663,0.0
2335,0.0,68,40,132.0898551755475,-124.64970137248972,-0.0,0.0,0.0,0.0,0.0,55.605475097526394,5.0,-124.64970137248972,5.0,0.41666666666666663,0.0
2340,0.0,68,40,131.88415256182392,-124.24962605164598,-0.0,0.0,0.0,0.0,0.0,55.491195867679956,5.0,-124.24962605164598,5.0,0.41666666666666663,0.0
2345,0.0,68,40,131.67911017061414,-123.85083481139439,-0.0,0.0,0.0,0.0,0.0,55.377283428118965,5.0,-123.85083481139439,5.0,0.41666666666666663,0.0
2350,0.0,68,40,131.47472588286988,-123.45332353035359,-0.0,0.0,0.0,0.0,0.0,55.263736601594374,5.0,-123.45332353035359,5.0,0.41666666666666663,0.0
2355,0.0,68,40,131.27099758634415,-123.05708810037018,-0.0,0.0,0.0,0.0,0.0,55.15055421463564,5.0,-123.05708810037018,5.0,0.41666666666666663,0.0
2360,0.0,68,40,131.06792317556946,-122.66212442647632,-0.0,0.0,0.0,0.0,0.0,55.03773509753859,5.0,-122.66212442647632,5.0,0.41666666666666663,0.0
2365,0.0,68,40,130.86550055183596,-122.26842842684731,-0.0,0.0,0.0,0.0,0.0,54.92527808435331,5.0,-122.26842842684731,5.0,0.41666666666666663,0.0
2370,0.0,68,40,130.6637276231699,-121.87599603275955,-0.0,0.0,0.0,0.0,0.0,54.81318201287217,5.0,-121.87599603275955,5.0,0.41666666666666663,0.0
2375,0.0,68,40,130.46260230431184,-121.48482318854833,-0.0,0.0,0.0,0.0,0.0,54.70144572461769,5.0,-121.48482318854833,5.0,0.41666666666666663,0.0
2380,0.0,68,40,130.26212251669523,-121.09490585156603,-0.0,0.0,0.0,0.0,0.0,54.59006806483068,5.0,-121.09490585156603,5.0,0.41666666666666663,0.0
2385,0.0,68,40,130.06228618842482,-120.7062399921402,-0.0,0.0,0.0,0.0,0.0,54.47904788245823,5.0,-120.7062399921402,5.0,0.41666666666666663,0.0
2390,0.0,68,40,129.8630912542554,-120.31882159353218,-0.0,0.0,0.0,0.0,0.0,54.36838403014189,5.0,-120.31882159353218,5.0,0.41666666666666663,0.0
2395,0.0,68,40,129.66453565557032,-119.93264665189531,-0.0,0.0,0.0,0.0,0.0,54.25807536420573,5.0,-119.93264665189531,5.0,0.41666666666666663,0.0
2400,0.0,68,40,129.46661734036024,-119.54771117623372,-0.0,0.0,0.0,0.0,0.0,54.14812074464458,5.0,-119.54771117623372,5.0,0.41666666666666663,0.0
2405,0.0,68,40,129.26933426320198,-119.16401118836099,-0.0,0.0,0.0,0.0,0.0,54.03851903511221,5.0,-119.16401118836099,5.0,0.41666666666666663,0.0
2410,0.0,68,40,129.07268438523732,-118.78154272285907,-0.0,0.0,0.0,0.0,0.0,53.92926910290962,5.0,-118.78154272285907,5.0,0.41666666666666663,0.0
2415,0.0,68,40,128.87666567415195,-118.40030182703732,-0.0,0.0,0.0,0.0,0.0,53.820369818973305,5.0,-118.40030182703732,5.0,0.41666666666666663,0.0
2420,0.0,68,40,128.68127610415448,-118.02028456089164,-0.0,0.0,0.0,0.0,0.0,53.7118200578636,5.0,-118.02028456089164,5.0,0.41666666666666663,0.0
2425,0.0,68,40,128.4865136559555,-117.64148699706378,-0.0,0.0,0.0,0.0,0.0,53.60361869775305,5.0,-117.64148699706378,5.0,0.41666666666666663,0.0
2430,0.23579652743999996,68,40,128.2923763167467,-117.26390522080071,-172.81808280546795,0.0,0.0,0.0,0.0,53.49576462041483,5.0,-290.0819880262687,5.0,0.41666666666666663,0.0
2435,0.0,68,40,127.81366980983879,-116.33285891140125,-0.0,0.0,0.0,0.0,0.0,53.22981656102154,5.0,-116.33285891140125,5.0,0.41666666666666663,0.0
2440,0.0,68,40,127.62169202829158,-115.95947730405534,-0.0,0.0,0.0,0.0,0.0,53.123162237939766,5.0,-115.95947730405534,5.0,0.41666666666666663,0.0
2445,0.091372544662,68,40,127.43033041807652,-115.58729410123595,-66.31418122720726,0.0,0.0,0.0,0.0,53.01685023226473,5.0,-181.9014753284432,5.0,0.41666666666666663,0.0
2450,0.0,68,40,127.13014831973821,-115.00346365236464,-0.0,0.0,0.0,0.0,0.0,52.85008239985456,5.0,-115.00346365236464,5.0,0.41666666666666663,0.0
2455,0.123202289718,68,40,126.94036436678782,-114.63434886819545,-88.91372547480542,0.0,0.0,0.0,0.0,52.74464687043768,5.0,-203.54807434300085,5.0,0.41666666666666663,0.0
2460,0.0,68,40,126.60446006497455,-113.98104155776272,-0.0,0.0,0.0,0.0,0.0,52.558033369430305,5.0,-113.98104155776272,5.0,0.41666666666666663,0.0
2465,0.0,68,40,126.41636335952553,-113.61520833658993,-0.0,0.0,0.0,0.0,0.0,52.45353519973641,5.0,-113.61520833658993,5.0,0.41666666666666663,0.0
2470,0.0,68,40,126.22887036871806,-113.25054929266526,-0.0,0.0,0.0,0.0,0.0,52.34937242706559,5.0,-113.25054929266526,5.0,0.41666666666666663,0.0
2475,0.10210578529599999,68,40,126.04197915487136,-112.88706065735278,-72.92716209358919,0.0,0.0,0.0,0.0,52.24554397492853,5.0,-185.81422275094195,5.0,0.41666666666666663,0.0
2480,0.04834624933299999,68,40,125.73534006255082,-112.29067186567598,-34.407350735459524,0.0,0.0,0.0,0.0,52.075188923639345,5.0,-146.6980226011355,5.0,0.41666666666666663,0.0
2485,0.0,68,40,125.49325230506024,-111.8198303168149,-0.0,0.0,0.0,0.0,0.0,51.940695725033464,5.0,-111.8198303168149,5.0,0.41666666666666663,0.0
2490,0.0,68,40,125.3087221288221,-111.46093371298745,-0.0,0.0,0.0,0.0,0.0,51.838178960456716,5.0,-111.46093371298745,5.0,0.41666666666666663,0.0
2495,0.0,68,40,125.12478422010366,-111.10318902266117,-0.0,0.0,0.0,0.0,0.0,51.73599123339092,5.0,-111.10318902266117,5.0,0.41666666666666663,0.0
2500,0.0,68,40,124.94143667796482,-110.7465925486578,-0.0,0.0,0.0,0.0,0.0,51.63413148775823,5.0,-110.7465925486578,5.0,0.41666666666666663,0.0
2505,0.06439273747199999,68,40,124.75867760756668,-110.39114060566551,-45.30536491515314,0.0,0.0,0.0,0.0,51.53259867087038,5.0,-155.69650552081865,5.0,0.41666666666666663,0.0
2510,0.0,68,40,124.5017401437732,-109.8914175520631,-0.0,0.0,0.0,0.0,0.0,51.389855635429555,5.0,-109.8914175520631,5.0,0.41666666666666663,0.0
2515,0.0,68,40,124.32039232209893,-109.53871037626541,-0.0,0.0,0.0,0.0,0.0,51.28910684561051,5.0,-109.53871037626541,5.0,0.41666666666666663,0.0
2520,0.0,68,40,124.13962655386835,-109.18713524839858,-0.0,0.0,0.0,0.0,0.0,51.18868141881575,5.0,-109.18713524839858,5.0,0.41666666666666663,0.0
2525,0.0,68,40,123.95944097092443,-108.83668853504484,-0.0,0.0,915.838993082193,915.838993082193,1.7187143113073147,51.088578317180236,5.0,807.0023045471482,158.5,13.208333333333332,532.8628423333332
2530,0.0,68,40,125.29119292458734,-111.42684079660972,-0.0,0.0,914.0333506480777,914.0333506480777,1.715325742447439,51.82844051365963,5.0,802.606509851468,158.5,13.208333333333332,532.8628423333333
2535,0.0,68,40,126.61569073765995,-114.00288432823885,-0.0,0.0,912.237543667206,912.237543667206,1.7119556313452875,52.5642726320333,5.0,798.234659338967,158.5,13.208333333333332,532.8628423333332
2540,0.0,68,40,127.93297392392375,-116.56489598111327,-0.0,0.0,910.4515185652169,910.4515185652169,1.7086038774602386,53.29609662440208,5.0,793.8866225841036,158.5,13.208333333333332,532.8628423333332
2545,0.0,68,40,129.2430817819261,-119.11295218780054,-0.0,0.0,908.6752220595721,908.6752220595721,1.7052703807993215,54.02393432329227,5.0,789.5622698717716,158.5,13.208333333333332,532.8628423333333
2550,0.0,68,40,130.54605339615253,-121.64712896453514,-0.0,0.0,906.9086011579662,906.9086011579662,1.7019550419142342,54.74780744230696,5.0,785.2614721934311,158.5,13.208333333333332,532.8628423333333
2555,0.0,68,40,131.84192763819283,-124.16750191348595,-0.0,0.0,905.1516031567473,905.1516031567473,1.6986577618983763,55.46773757677379,5.0,780.9841012432614,158.5,13.208333333333332,532.8628423333333
2560,0.0,68,40,133.13074316790068,-126.67414622501194,-0.0,0.0,903.404175639343,903.404175639343,1.6953784423838973,56.183746204389266,5.0,776.730029414331,158.5,13.208333333333332,532.8628423333333
2565,0.0,68,40,134.41253843454695,-129.16713667990516,-0.0,0.0,901.6662664746976,901.6662664746976,1.6921169855387639,56.89585468585941,5.0,772.4991297947925,158.5,13.208333333333332,532.8628423333333
2570,0.0,68,40,135.68735167796686,-131.64654765162186,-0.0,0.0,899.9378238157173,899.9378238157173,1.68887329406384,57.60408426553714,5.0,768.2912761640954,158.5,13.208333333333332,532.8628423333333
2575,0.0,68,40,136.95522092970072,-134.11245310850117,-0.0,0.0,0.0,0.0,0.0,58.308456072055954,5.0,-134.11245310850117,5.0,0.41666666666666663,0.0
2580,0.0,68,40,136.73390245213082,-133.68200616706656,-0.0,0.0,0.0,0.0,0.0,58.1855013622949,5.0,-133.68200616706656,5.0,0.41666666666666663,0.0
2585,0.0,68,40,136.51329431770614,-133.25294078688967,-0.0,0.0,0.0,0.0,0.0,58.06294128761452,5.0,-133.25294078688967,5.0,0.41666666666666663,0.0
2590,0.0,68,40,136.29339424651135,-132.82525253371543,-0.0,0.0,0.0,0.0,0.0,57.940774581395196,5.0,-132.82525253371543,5.0,0.41666666666666663,0.0
2595,0.0,68,40,136.0741999659488,-132.39893698752107,-0.0,0.0,0.0,0.0,0.0,57.81899998108266,5.0,-132.39893698752107,5.0,0.41666666666666663,0.0
