Time (min),Hot Water Draw Volume (gal),Ambient Temperature (deg F),Inlet Water Temperature (deg F),Tank Temperature (deg F),Jacket Losses (Btu),Energy Withdrawn (Btu),Energy Added Backup (Btu),Energy Added Heat Pump (Btu),Energy Added Total (Btu),COP Gas,Tank Temperature (deg C),Time Step (min),Total Energy Change (Btu),Elec Energy Demand (Watts),Electric Usage (W-hrs),Gas Usage (Btu)
5495,0.10098579495299999,68,40,132.8755310173913,-126.17777876934382,-77.85565641591113,0.0,0.0,0.0,0.0,56.0419616763285,5.0,-204.03343518525494,5.0,0.41666666666666663,0.0
5500,0.08726591329299999,68,40,132.53882575101292,-125.52291364615623,-67.03431792512576,0.0,0.0,0.0,0.0,55.854903195007175,5.0,-192.557231571282,5.0,0.41666666666666663,0.0
5505,0.0,68,40,132.221059038462,-124.90488251288097,-0.0,0.0,0.0,0.0,0.0,55.67836613247888,5.0,-124.90488251288097,5.0,0.41666666666666663,0.0
5510,0.0,68,40,132.01493531319963,-124.5039881633874,-0.0,0.0,0.0,0.0,0.0,55.56385295177757,5.0,-124.5039881633874,5.0,0.41666666666666663,0.0
5515,0.0,68,40,131.80947316204944,-124.10438052323796,-0.0,0.0,0.0,0.0,0.0,55.449707312249686,5.0,-124.10438052323796,5.0,0.41666666666666663,0.0
5520,0.0,68,40,131.60467046162506,-123.70605546261405,-0.0,0.0,0.0,0.0,0.0,55.33592803423615,5.0,-123.70605546261405,5.0,0.41666666666666663,0.0
5525,0.0,68,40,131.40052509535536,-123.30900886495213,-0.0,0.0,0.0,0.0,0.0,55.22251394186409,5.0,-123.30900886495213,5.0,0.41666666666666663,0.0
5530,0.0,68,40,131.19703495346255,-122.91323662690121,-0.0,0.0,0.0,0.0,0.0,55.10946386303475,5.0,-122.91323662690121,5.0,0.41666666666666663,0.0
5535,0.0,68,40,130.99419793294032,-122.51873465828034,-0.0,0.0,0.0,0.0,0.0,54.996776629411286,5.0,-122.51873465828034,5.0,0.41666666666666663,0.0
5540,0.0,68,40,130.79201193753227,-122.12549888203647,-0.0,0.0,0.0,0.0,0.0,54.88445107640681,5.0,-122.12549888203647,5.0,0.41666666666666663,0.0
5545,0.0,68,40,130.59047487771002,-121.73352523420213,-0.0,0.0,0.0,0.0,0.0,54.772486043172236,5.0,-121.73352523420213,5.0,0.41666666666666663,0.0
5550,0.0,68,40,130.38958467065183,-121.34280966385373,-0.0,0.0,0.0,0.0,0.0,54.660880372584344,5.0,-121.34280966385373,5.0,0.41666666666666663,0.0
5555,0.0,68,40,130.1893392402209,-120.95334813306931,-0.0,0.0,0.0,0.0,0.0,54.549632911233836,5.0,-120.95334813306931,5.0,0.41666666666666663,0.0
5560,0.0,68,40,129.98973651694408,-120.56513661688717,-0.0,0.0,0.0,0.0,0.0,54.43874250941337,5.0,-120.56513661688717,5.0,0.41666666666666663,0.0
5565,0.0,68,40,129.7907744379903,-120.17817110326406,-0.0,0.0,0.0,0.0,0.0,54.32820802110572,5.0,-120.17817110326406,5.0,0.41666666666666663,0.0
5570,0.027533095611999996,68,40,129.59245094714944,-119.79244759303377,-20.476467327396076,0.0,0.0,0.0,0.0,54.21802830397191,5.0,-140.26891492042984,5.0,0.41666666666666663,0.0
5575,0.12822715648799998,68,40,129.36097279593366,-119.3422408895817,-95.11663373790144,0.0,0.0,0.0,0.0,54.08942933107426,5.0,-214.45887462748314,5.0,0.41666666666666663,0.0
5580,0.0,68,40,129.0070629946156,-118.65391430612698,-0.0,0.0,0.0,0.0,0.0,53.89281277478645,5.0,-118.65391430612698,5.0,0.41666666666666663,0.0
5585,0.15612072839299998,68,40,128.8112549017557,-118.27308304610226,-115.09518299952148,0.0,0.0,0.0,0.0,53.78403050097538,5.0,-233.36826604562373,5.0,0.41666666666666663,0.0
5590,0.0,68,40,128.42613996159008,-117.52406493466734,-0.0,0.0,0.0,0.0,0.0,53.570077756438934,5.0,-117.52406493466734,5.0,0.41666666666666663,0.0
5595,0.0,68,40,128.23219639761604,-117.14686003591596,-0.0,0.0,0.0,0.0,0.0,53.46233133200891,5.0,-117.14686003591596,5.0,0.41666666666666663,0.0
5600,0.0,68,40,128.03887531434373,-116.77086581291617,-0.0,0.0,0.0,0.0,0.0,53.35493073019096,5.0,-116.77086581291617,5.0,0.41666666666666663,0.0
5605,0.0,68,40,127.8461747138609,-116.39607837988657,-0.0,0.0,0.0,0.0,0.0,53.247874841033834,5.0,-116.39607837988657,5.0,0.41666666666666663,0.0
5610,0.0,68,40,127.6540926046678,-116.02249386351754,-0.0,0.0,0.0,0.0,0.0,53.14116255814877,5.0,-116.02249386351754,5.0,0.41666666666666663,0.0
5615,0.0,68,40,127.46262700165656,-115.65010840293122,-0.0,0.0,0.0,0.0,0.0,53.03479277869808,5.0,-115.65010840293122,5.0,0.41666666666666663,0.0
5620,0.0,68,40,127.27177592609073,-115.27891814964171,-0.0,0.0,0.0,0.0,0.0,52.92876440338374,5.0,-115.27891814964171,5.0,0.41666666666666663,0.0
5625,0.0,68,40,127.08153740558478,-114.9089192675151,-0.0,0.0,0.0,0.0,0.0,52.82307633643599,5.0,-114.9089192675151,5.0,0.41666666666666663,0.0
5630,0.0,68,40,126.89190947408379,-114.54010793272995,-0.0,0.0,0.0,0.0,0.0,52.717727485602104,5.0,-114.54010793272995,5.0,0.41666666666666663,0.0
5635,0.0,68,40,126.70289017184305,-114.17248033373772,-0.0,0.0,0.0,0.0,0.0,52.61271676213503,5.0,-114.17248033373772,5.0,0.41666666666666663,0.0
5640,0.0,68,40,126.51447754540784,-113.80603267122349,-0.0,0.0,0.0,0.0,0.0,52.50804308078213,5.0,-113.80603267122349,5.0,0.41666666666666663,0.0
5645,0.0,68,40,126.32666964759326,-113.44076115806654,-0.0,0.0,0.0,0.0,0.0,52.40370535977404,5.0,-113.44076115806654,5.0,0.41666666666666663,0.0
5650,0.0,68,40,126.13946453746406,-113.07666201930125,-0.0,0.0,0.0,0.0,0.0,52.29970252081337,5.0,-113.07666201930125,5.0,0.41666666666666663,0.0
5655,0.0,68,40,125.95286028031465,-112.71373149207822,-0.0,0.0,0.0,0.0,0.0,52.196033489063694,5.0,-112.71373149207822,5.0,0.41666666666666663,0.0
5660,0.0,68,40,125.76685494764904,-112.3519658256252,-0.0,0.0,0.0,0.0,0.0,52.09269719313835,5.0,-112.3519658256252,5.0,0.41666666666666663,0.0
5665,0.0,68,40,125.58144661716092,-111.99136128120841,-0.0,0.0,0.0,0.0,0.0,51.9896925650894,5.0,-111.99136128120841,5.0,0.41666666666666663,0.0
5670,0.0,68,40,125.39663337271385,-111.63191413209398,-0.0,0.0,0.0,0.0,0.0,51.88701854039658,5.0,-111.63191413209398,5.0,0.41666666666666663,0.0
5675,0.0,68,40,125.21241330432139,-111.27362066350923,-0.0,0.0,0.0,0.0,0.0,51.78467405795632,5.0,-111.27362066350923,5.0,0.41666666666666663,0.0
5680,0.0,68,40,125.02878450812739,-110.91647717260454,-0.0,0.0,0.0,0.0,0.0,51.68265806007077,5.0,-110.91647717260454,5.0,0.41666666666666663,0.0
5685,0.0,68,40,124.84574508638632,-110.56047996841485,-0.0,0.0,0.0,0.0,0.0,51.58096949243684,5.0,-110.56047996841485,5.0,0.41666666666666663,0.0
5690,0.0,68,40,124.66329314744362,-110.20562537182158,-0.0,0.0,0.0,0.0,0.0,51.47960730413534,5.0,-110.20562537182158,5.0,0.41666666666666663,0.0
5695,0.0,68,40,124.48142680571623,-109.85190971551478,-0.0,0.0,0.0,0.0,0.0,51.37857044762012,5.0,-109.85190971551478,5.0,0.41666666666666663,0.0
5700,0.0,68,40,124.300144181673,-109.49932934395497,-0.0,0.0,0.0,0.0,0.0,51.27785787870722,5.0,-109.49932934395497,5.0,0.41666666666666663,0.0
5705,0.0,68,40,124.11944340181536,-109.1478806133355,-0.0,0.0,0.0,0.0,0.0,51.17746855656409,5.0,-109.1478806133355,5.0,0.41666666666666663,0.0
5710,0.0,68,40,123.93932259865787,-108.79755989154486,-0.0,0.0,915.8662703740115,915.8662703740115,1.7187655013878596,51.07740144369881,5.0,807.0687104824666,158.5,13.208333333333332,532.8628423333332
5715,0.0,68,40,125.27118413841934,-111.3879252894076,-0.0,0.0,914.0604793586913,914.0604793586913,1.7153766536922443,51.81732452134408,5.0,802.6725540692837,158.5,13.208333333333332,532.8628423333333
5720,0.0,68,40,126.59579094066783,-113.96418079636713,-0.0,0.0,912.2645246059463,912.2645246059463,1.7120062652731898,52.553217189259904,5.0,798.3003438095792,158.5,13.208333333333332,532.8628423333332
5725,0.0,68,40,127.9131825224363,-116.52640326992835,-0.0,0.0,910.4783525370075,910.4783525370075,1.708654235581801,53.2851014013535,5.0,793.9519492670792,158.5,13.208333333333332,532.8628423333333
5730,0.0,68,40,129.22339818550586,-119.07466914894832,-0.0,0.0,908.701909864951,908.701909864951,1.7053204646168796,54.0129989919477,5.0,789.6272407160027,158.5,13.208333333333332,532.8628423333332
5735,0.0,68,40,130.5264770175782,-121.60905445591658,-0.0,0.0,906.9351435931118,906.9351435931118,1.70200485292194,54.736931676432334,5.0,785.3260891371951,158.5,13.208333333333332,532.8628423333332
5740,0.0,68,40,131.82245789344174,-124.1296347992231,-0.0,0.0,905.1780010135008,905.1780010135008,1.698707301582243,55.456921051912076,5.0,781.0483662142776,158.5,13.208333333333332,532.8628423333333
5745,0.0,68,40,133.11137947613136,-126.6364853754141,-0.0,0.0,903.4304297052324,903.4304297052324,1.6954277122218437,56.172988597850754,5.0,776.7939443298184,158.5,13.208333333333332,532.8628423333333
5750,0.0,68,40,134.39328021808186,-129.12968097143514,-0.0,0.0,901.6923775329611,901.6923775329611,1.6921659870006585,56.88515567671214,5.0,772.562696561526,158.5,13.208333333333332,532.8628423333332
