Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),Environment:Site Mains Water Temperature [C](Hourly),LIVING_1:Zone Mean Air Temperature [C](Hourly),LIVING_1:Zone Mean Air Dewpoint Temperature [C](Hourly),FINISHEDBASEMENT_1:Zone Mean Air Temperature [C](Hourly),FINISHEDBASEMENT_1:Zone Mean Air Dewpoint Temperature [C](Hourly),GARAGE:Zone Mean Air Temperature [C](Hourly),GARAGE:Zone Mean Air Dewpoint Temperature [C](Hourly),WATER HEATER_1:Water Heater Use Side Mass Flow Rate [kg/s](Hourly),WATER HEATER_1:Water Heater Use Side Inlet Temperature [C](Hourly),WATER HEATER_1:Water Heater Heating Energy [J](Hourly)
 06/10  07:00:00,14.61666667,11.64972518,13.75535826,21.66666556,9.230917068,18.18179025,7.810005036,13.49444664,10.00588382,0.006083739,13.7528153,2935235.563
 06/10  08:00:00,18.975,13.92620821,13.75535826,21.66666687,9.27606636,17.85983791,7.80676411,16.13404438,10.00017579,0.002714052,13.75535826,2509881.89
 06/10  09:00:00,21.88333333,15.2707492,13.75535826,21.69112367,9.316750123,17.70005423,7.808522958,18.70715532,10.00329527,0.007698979,13.75535826,4578545.831
 06/10  10:00:00,24.08333333,16.16477713,13.75535826,21.7592153,9.449463296,17.44045811,7.801000726,21.43423296,10.00034144,0.00967997,13.75535826,4697642.336
 06/10  11:00:00,25.35,15.90730893,13.75535826,21.6666713,9.480344763,17.43225213,7.795839342,23.48521991,9.996324299,0,13.75535826,1495808.177
 06/10  12:00:00,26.24166667,15.39345917,13.75535826,21.69631969,9.47209478,17.44593955,7.78855503,24.80788998,9.97721679,0.004673281,13.75535826,2244793.881
 06/10  13:00:00,26.99166667,15.27649122,13.75535826,21.82497154,9.443703564,17.36241778,7.774800757,25.65500826,9.941158769,0.00377443,13.75535826,3149784.507
 06/10  14:00:00,27.55,15.2416515,13.75535826,21.90022483,9.388711733,17.35268922,7.760980183,26.23448947,9.899311731,0,13.75535826,0
 06/10  15:00:00,27.8,15.10796354,13.75535826,22.07845256,9.330989613,17.35953822,7.755816726,26.57951265,9.864321991,0.00089812,13.75535826,0
 06/10  16:00:00,27.8,15.2658459,13.75535826,22.31071823,9.278829675,17.3672268,7.748221313,26.65470949,9.828968441,0.00299994,13.75535826,1970998.988
 06/10  17:00:00,27.8,15.31750113,13.75535826,22.72470038,9.231289704,17.38098462,7.743166276,26.60746018,9.803317241,0.002314512,13.75535826,1786855.325
